Rk,year,TM,player,college,yrs,G,MP,PTS,TRB,AST,FG,3p%,FT,WS,ws48,BPM,VORP
52,1969,BOS,Steve Kuberski,Bradley,9,568,13.9,5.5,3.8,0.6,0.417,,0.767,11.4,0.069,-2.6,-0.5
53,1969,ATL,Billy Hann,Tennessee,,,,,,,,,,,,,
54,1969,NYK,Elnardo Webster,Saint Peter's College,,,,,,,,,,,,,
55,1969,ATL,Don Griffin,Stanford,,,,,,,,,,,,,
56,1969,PHI,Dave Scholz,Illinois,1,1,1,2,0,0,1,,,0,1.316,,
57,1969,BAL,Gene Ford,Western Michigan,,,,,,,,,,,,,
58,1969,PHO,Rich Jones,Memphis,1,34,25.8,10.6,5.7,1.4,0.385,,0.76,0.6,0.033,-3.1,-0.2
59,1969,MIL,Ken Heitz,UCLA,,,,,,,,,,,,,
60,1969,SEA,Jerry King,Louisville,,,,,,,,,,,,,
61,1969,DET,Steve Mix,Toledo,12,787,23.9,10.6,5.3,1.8,0.498,0.286,0.803,57.6,0.147,1.8,17.1
62,1969,CHI,Chris Ellis,Virginia Tech,,,,,,,,,,,,,
63,1969,SDR,Charles Hentz,University of Arkansas at Pine Bluff,,,,,,,,,,,,,
64,1969,SFW,Willie Wise,Drake University,2,77,18.4,8,3.3,1.8,0.459,,0.644,2.5,0.085,-1.2,0.3
65,1969,CIN,Jake Ford,University of Maryland Eastern Shore,2,31,8,4.1,0.6,1.1,0.462,,0.764,0.7,0.133,,
66,1969,BOS,George Thompson,Marquette,1,73,27.2,10.7,2.5,3.1,0.443,,0.785,2.7,0.064,-2.3,-0.1
67,1969,ATL,Mike Mitchell,West Texas A&M University,,,,,,,,,,,,,
68,1969,NYK,Gene Littles,High Point University,,,,,,,,,,,,,
69,1969,LAL,Wil Jones,Albany State University,2,159,27.8,9.9,5.9,1.9,0.433,,0.731,4.6,0.05,-1.9,0.1
70,1969,PHI,Joe Cromer,Temple,,,,,,,,,,,,,
71,1969,BAL,Willie Jackson,Morehead State University,,,,,,,,,,,,,
72,1969,PHO,Dan Sadlier,Dayton,,,,,,,,,,,,,
73,1969,MIL,John Arthurs,Tulane,1,11,7.8,3.2,1.3,1.5,0.343,,0.733,0,-0.004,,
74,1969,SEA,Ben McGilmer,Iowa,,,,,,,,,,,,,
75,1969,DET,Larry Jeffries,Trinity University,,,,,,,,,,,,,
76,1969,CHI,George Tinsley,Kentucky Wesleyan College,,,,,,,,,,,,,
77,1969,SDR,Bob Tallent,George Washington,,,,,,,,,,,,,
78,1969,SFW,Dan Obravak,Dayton,,,,,,,,,,,,,
79,1969,CIN,Mel Coleman,University of Wisconsin-Stout,,,,,,,,,,,,,
80,1969,BOS,Dolph Pulliam,Drake University,,,,,,,,,,,,,
81,1969,ATL,Guy Mackner,South Dakota State,,,,,,,,,,,,,
82,1969,NYK,Dwight Durante,Cawtaba College,,,,,,,,,,,,,
83,1969,LAL,Dick Grubar,UNC,,,,,,,,,,,,,
84,1969,PHI,John Jones,Villanova,,,,,,,,,,,,,
85,1969,BAL,Paul Loveday,California,,,,,,,,,,,,,
86,1969,PHO,Bill Sweet,UCLA,,,,,,,,,,,,,
87,1969,MIL,Bill Keller,Purdue,,,,,,,,,,,,,
88,1969,SEA,Greg Wittman,Western Carolina University,,,,,,,,,,,,,
89,1969,DET,Steve Vandenberg,Duke,,,,,,,,,,,,,
90,1969,CHI,Frank Judge,Huston-Tillotson University,,,,,,,,,,,,,
91,1969,SDR,Lynn Shackelford,UCLA,,,,,,,,,,,,,
92,1969,SFW,Pat Foley,University of the Pacific,,,,,,,,,,,,,
93,1969,CIN,L.C. Bowen,Bradley,,,,,,,,,,,,,
94,1969,BOS,Jim Johnson,Wisconsin,,,,,,,,,,,,,
95,1969,ATL,Bob Bundy,Vanderbilt,,,,,,,,,,,,,
96,1969,NYK,Chris Thomforde,Princeton,,,,,,,,,,,,,
97,1969,LAL,Kari Liimbo,BYU,,,,,,,,,,,,,
98,1969,PHI,Dave Hamilton,West Virginia State University,,,,,,,,,,,,,
99,1969,BAL,Jeff Claypool,Grove City College,,,,,,,,,,,,,
100,1969,PHO,Bob Edwards,Arizona State,,,,,,,,,,,,,
101,1969,MIL,John Schell,Wisconsin,,,,,,,,,,,,,
102,1969,SEA,Theartis Wallace,Central Washington University,,,,,,,,,,,,,
103,1969,DET,Bob Arnzen,Notre Dame,1,55,10.8,5.5,2.8,0.4,0.462,,0.865,1,0.082,,
104,1969,CHI,Roger Moller,Westmar University,,,,,,,,,,,,,
105,1969,SDR,Bill DeHeer,Indiana,,,,,,,,,,,,,
106,1969,SFW,Steve Rippe,UC Santa Barbara,,,,,,,,,,,,,
107,1969,CIN,Merton Bancroft,Missouri State University,,,,,,,,,,,,,
108,1969,BOS,Bob Whitmore,Notre Dame,,,,,,,,,,,,,
109,1969,ATL,Bob Christian,Grambling State University,4,246,12.2,3.8,4.1,0.8,0.486,,0.704,5.7,0.091,-1.9,0
110,1969,NYK,Jim Healey,Rockhurst University,,,,,,,,,,,,,
111,1969,LAL,Joe Smith,Oklahoma State,,,,,,,,,,,,,
112,1969,PHI,Jim Bowles,Trinity University,,,,,,,,,,,,,
113,1969,BAL,Barry White,Hofstra,,,,,,,,,,,,,
114,1969,PHO,Steve Jennings,USC,,,,,,,,,,,,,
115,1969,MIL,Jim Satalin,St. Bonaventure,,,,,,,,,,,,,
116,1969,SEA,Vince Fritz,Oregon State,,,,,,,,,,,,,
117,1969,DET,George Reynolds,Houston,1,10,4.4,2.1,1.4,1.2,0.421,,0.714,0.1,0.055,,
118,1969,CHI,Sterling Burke,Northwestern,,,,,,,,,,,,,
119,1969,SDR,Larry Cheatham,Tulsa,,,,,,,,,,,,,
120,1969,SFW,Greg Reed,Sacramento State,,,,,,,,,,,,,
121,1969,CIN,James Hurley,Transylvania University,,,,,,,,,,,,,
122,1969,BOS,Gordon Smith,Cincinnati,,,,,,,,,,,,,
123,1969,ATL,Pete Gayeska,UMass,,,,,,,,,,,,,
124,1969,NYK,Roger Walaszak,Columbia University,,,,,,,,,,,,,
125,1969,LAL,Jim Smith,Northern Illinois,,,,,,,,,,,,,
126,1969,PHI,Larry Lewis,Saint Francis University,,,,,,,,,,,,,
127,1969,BAL,Gary Major,Duquesne,,,,,,,,,,,,,
128,1969,PHO,Rich Abrahamson,Oregon,,,,,,,,,,,,,
129,1969,MIL,Willie Brown,Middle Tennessee,,,,,,,,,,,,,
130,1969,SEA,Al Cueto,Tulsa,,,,,,,,,,,,,
131,1969,DET,Bill English,Winston-Salem State,,,,,,,,,,,,,
132,1969,CHI,Al Smith,Bradley,,,,,,,,,,,,,
133,1969,SDR,Lee Sims,Ashland University,,,,,,,,,,,,,
134,1969,SFW,Dick Chapman,San Francisco State University,,,,,,,,,,,,,
135,1969,CIN,Bill Bowes,Elon University,,,,,,,,,,,,,
136,1969,BOS,Jim Picka,High Point University,,,,,,,,,,,,,
137,1969,ATL,Dick Stewart,Rutgers University,,,,,,,,,,,,,
138,1969,NYK,Frank McLaughlin,Fordham,,,,,,,,,,,,,
139,1969,LAL,Phil Argento,Kentucky,,,,,,,,,,,,,
140,1969,PHI,Bill Justus,Tennessee,,,,,,,,,,,,,
141,1969,BAL,Frank Bartleson,Tennessee Technological University,,,,,,,,,,,,,
142,1969,PHO,Fred Lind,Duke,,,,,,,,,,,,,
143,1969,MIL,Bob Presley,California,,,,,,,,,,,,,
144,1969,SEA,Jim Connolly,Bowling Green,,,,,,,,,,,,,
145,1969,DET,Rusty Clark,UNC,,,,,,,,,,,,,
146,1969,CHI,Larry Bergh,Weber State,,,,,,,,,,,,,
147,1969,SDR,Justus Thigpen,Weber State,2,19,5.3,2.5,0.5,0.4,0.4,,,-0.1,-0.061,-4.8,0
148,1969,SFW,Rich Holmberg,Saint Mary's,,,,,,,,,,,,,
149,1969,CIN,Jim Supple,Georgetown,,,,,,,,,,,,,
150,1969,BOS,Larry Frinston,Kenyon College,,,,,,,,,,,,,
151,1969,ATL,Loran Bracci,Cal State Northridge,,,,,,,,,,,,,
152,1969,NYK,Marvin Lewis,LIU Southampton,,,,,,,,,,,,,
153,1969,LAL,Ron Peret,Texas A&M,,,,,,,,,,,,,
154,1969,PHI,Bruce Sloan,Kansas,,,,,,,,,,,,,
155,1969,BAL,Gerald McKee,Ohio University,,,,,,,,,,,,,
156,1969,PHO,Bob Miller,Toledo,,,,,,,,,,,,,
157,1969,MIL,Jack Lutz,Carthage College,,,,,,,,,,,,,
158,1969,SEA,John Smith,University of Puget Sound,,,,,,,,,,,,,
159,1969,CHI,Harry Hall,Wyoming,,,,,,,,,,,,,
160,1969,SDR,Raul Duarte,South Dakota State,,,,,,,,,,,,,
161,1969,SFW,Joe Callahan,San Francisco State University,,,,,,,,,,,,,
162,1969,CIN,Mike Davis,Colorado State,,,,,,,,,,,,,
163,1969,BOS,Rod Forbes,Boston State University,,,,,,,,,,,,,
164,1969,ATL,Dave Jones,University of La Verne,,,,,,,,,,,,,
165,1969,NYK,Bill O'Rourke,St. John Fisher College,,,,,,,,,,,,,
166,1969,LAL,Jack Gillespie,Montana State,,,,,,,,,,,,,
167,1969,PHI,Fatty Taylor,La Salle,1,79,19.6,3.8,2.7,3.6,0.42,,0.569,2.1,0.066,0.5,1
168,1969,BAL,Bob Washington,Tulsa,,,,,,,,,,,,,
169,1969,PHO,Andy White,Texas-El Paso,,,,,,,,,,,,,
170,1969,MIL,Lee Osgood,Northeastern University,,,,,,,,,,,,,
171,1969,SEA,Bob Burrow,Seattle Pacific University,,,,,,,,,,,,,
172,1969,CHI,Rick Kirkland,Norfolk State,,,,,,,,,,,,,
173,1969,SDR,Joe McBride,Augusta State University,,,,,,,,,,,,,
174,1969,CIN,Ted Johnson,Baldwin-Wallace College,,,,,,,,,,,,,
