Rk,year,TM,player,college,yrs,G,MP,PTS,TRB,AST,FG,3p%,FT,WS,ws48,BPM,VORP
96,1974,KCO,Ron Kennedy,Arizona,,,,,,,,,,,,,
97,1974,ATL,Sam Hervey,SMU,,,,,,,,,,,,,
98,1974,SEA,Wardell Jackson,Ohio State,1,56,16.8,4.3,2.4,0.5,0.397,,0.718,0.3,0.015,-4.9,-0.7
99,1974,BUF,Gary Link,Missouri,,,,,,,,,,,,,
100,1974,NOJ,Lawrence McCray,Florida State,,,,,,,,,,,,,
101,1974,GSW,John Errecart,University of the Pacific,,,,,,,,,,,,,
102,1974,WSB,Roy McPipe,"Montana State University, Billings",,,,,,,,,,,,,
103,1974,LAL,Billy Morris,Saint Louis,,,,,,,,,,,,,
104,1974,NYK,Terry Mikan,St. Thomas University,,,,,,,,,,,,,
105,1974,DET,Mike Sylvester,Dayton,,,,,,,,,,,,,
106,1974,CHI,Robert Rosier,St. Thomas University,,,,,,,,,,,,,
107,1974,BOS,Gene Harmon,Creighton,,,,,,,,,,,,,
108,1974,MIL,Larry Williams,Kansas State,,,,,,,,,,,,,
109,1974,PHI,Dave Stoczynski,Gannon University,,,,,,,,,,,,,
110,1974,POR,Doug Richards,BYU,,,,,,,,,,,,,
111,1974,CLE,Mike Robinson,Michigan State,,,,,,,,,,,,,
112,1974,PHO,Clyde Dickey,Boise State,,,,,,,,,,,,,
113,1974,HOU,Kevin Fitzgerald,Oklahoma State,,,,,,,,,,,,,
114,1974,KCO,Mark Browne,Missouri Western State College,,,,,,,,,,,,,
115,1974,ATL,Greg Lee,UCLA,1,5,7,1.2,0.4,2.2,0.5,,1,0,0.041,-3.5,0
116,1974,SEA,Jerry Faulkner,West Georgia,,,,,,,,,,,,,
117,1974,BUF,Tommy Curtis,UCLA,,,,,,,,,,,,,
118,1974,NOJ,Joel Copeland,Old Dominion,,,,,,,,,,,,,
119,1974,GSW,Brady Allen,California,,,,,,,,,,,,,
120,1974,LAL,Dennis Van Zant,Azusa Pacific University,,,,,,,,,,,,,
121,1974,WSB,Tom Turner,West Georgia,,,,,,,,,,,,,
122,1974,NYK,Billy Smith,Mercer University,,,,,,,,,,,,,
123,1974,DET,Sammy High,Tulsa,,,,,,,,,,,,,
124,1974,CHI,Geoff Roberts,Missouri,,,,,,,,,,,,,
125,1974,BOS,Ron Brown,Penn State,,,,,,,,,,,,,
126,1974,MIL,Bob Hornstein,West Virginia,,,,,,,,,,,,,
127,1974,PHI,Jimmy Powell,Middle Tennessee,,,,,,,,,,,,,
128,1974,POR,Eldridge Broussard,Pacific University,,,,,,,,,,,,,
129,1974,CLE,Kerry Hughes,Wisconsin,,,,,,,,,,,,,
130,1974,PHO,Tom Holland,Oklahoma,,,,,,,,,,,,,
131,1974,HOU,Steve Brooks,Arkansas State University,,,,,,,,,,,,,
132,1974,KCO,Richie O'Connor,Fairfield,,,,,,,,,,,,,
133,1974,ATL,Bill Butler,Louisville,,,,,,,,,,,,,
134,1974,SEA,Leonard Coulter,Morehead State University,,,,,,,,,,,,,
135,1974,BUF,Glenn Price,St. Bonaventure,,,,,,,,,,,,,
136,1974,NOJ,Jay Piccola,Roanoke College,,,,,,,,,,,,,
137,1974,GSW,Clarence Allen,UC Santa Barbara,,,,,,,,,,,,,
138,1974,WSB,Steve Platt,Huntington University,,,,,,,,,,,,,
139,1974,LAL,Bob Florence,UNLV,,,,,,,,,,,,,
140,1974,NYK,Dennis McDermott,St. Francis College,,,,,,,,,,,,,
141,1974,DET,Greg Newman,Drexel,,,,,,,,,,,,,
142,1974,CHI,Sam McCants,Oral Roberts,,,,,,,,,,,,,
143,1974,BOS,Richard Wallace,Georgia Southern University,,,,,,,,,,,,,
144,1974,MIL,Ralph Palamar,Cameron University,,,,,,,,,,,,,
145,1974,PHI,Perry Warbington,Georgia Southern University,1,5,14,2,1.6,3.2,0.19,,1,-0.3,-0.178,-6.6,-0.2
146,1974,POR,Lee Haven,Colorado,,,,,,,,,,,,,
147,1974,CLE,Jim Buskofsky,Upper Iowa University,,,,,,,,,,,,,
148,1974,PHO,Ted Evans,Oklahoma,,,,,,,,,,,,,
149,1974,HOU,Ken Stalling,University of Missouri-Rolla,,,,,,,,,,,,,
150,1974,KCO,Jeff Dawson,Illinois,,,,,,,,,,,,,
151,1974,ATL,Lon Kruger,Kansas State,,,,,,,,,,,,,
152,1974,SEA,Bertrand du Pont,Dillard University,,,,,,,,,,,,,
153,1974,BUF,John Falconi,Davidson,,,,,,,,,,,,,
154,1974,NOJ,Ken Boyd,Boston University,1,6,4.2,3.2,0.8,0.3,0.538,,0.455,0.1,0.109,-2.7,0.1
155,1974,GSW,Carl Meier,California,,,,,,,,,,,,,
156,1974,WSB,Mark Raterink,Boston College,,,,,,,,,,,,,
157,1974,NYK,Earl Brown,Lafayette College,,,,,,,,,,,,,
158,1974,DET,Gary Deitelhoff,Millikin University,,,,,,,,,,,,,
159,1974,CHI,Jerry Davenport,Cameron University,,,,,,,,,,,,,
160,1974,BOS,Al Skinner,UMass,4,203,22,9.3,3.3,2.6,0.437,,0.808,6.2,0.067,-1.2,0.9
161,1974,MIL,Mike Deane,State University of New York at Potsdam,,,,,,,,,,,,,
162,1974,PHI,Larry Witherspoon,Towson University,,,,,,,,,,,,,
163,1974,POR,Ron Jones,Oregon State,,,,,,,,,,,,,
164,1974,CLE,Jim Kelly,Loras College,,,,,,,,,,,,,
165,1974,PHO,Mark Wasley,Arizona State,,,,,,,,,,,,,
166,1974,HOU,Marcus Washington,Marquette,,,,,,,,,,,,,
167,1974,KCO,Dennis White,Arkansas,,,,,,,,,,,,,
168,1974,ATL,Brendy Lee,Nebraska,,,,,,,,,,,,,
169,1974,SEA,Rod Derline,Seattle University,2,107,9.4,4.8,0.8,0.7,0.419,,0.786,0.8,0.039,-3,-0.3
170,1974,BUF,Andy Rimol,Princeton,,,,,,,,,,,,,
171,1974,NOJ,Walt McGary,Chattanooga,,,,,,,,,,,,,
172,1974,GSW,Marvin Buckley,Nevada,,,,,,,,,,,,,
173,1974,WSB,Pete Collins,High Point University,,,,,,,,,,,,,
174,1974,NYK,John O'Connell,UNC,,,,,,,,,,,,,
175,1974,DET,Bill Ligon,Vanderbilt,1,38,7.2,3.3,0.7,0.7,0.385,,0.64,-0.2,-0.043,-4.5,-0.2
176,1974,CHI,Rick Hockenos,Saint Francis University,,,,,,,,,,,,,
177,1974,BOS,Phil Rogers,Fairfield,,,,,,,,,,,,,
178,1974,MIL,Bruce Featherston,Texas State University,,,,,,,,,,,,,
1,1975,ATL,David Thompson,NC State,8,509,32,22.1,3.8,3.2,0.504,0.277,0.778,50.8,0.15,2.1,16.8
2,1975,LAL,Dave Meyers,UCLA,4,281,26.6,11.2,6.3,2.3,0.461,0.2,0.676,13.4,0.086,-0.7,2.4
3,1975,ATL,Marvin Webster,Morgan State University,9,579,22.4,7.1,7,1.2,0.489,0.333,0.617,28.1,0.104,-0.1,6.2
4,1975,PHO,Alvan Adams,Oklahoma,13,988,27.5,14.1,7,4.1,0.498,0.133,0.788,73.5,0.13,2.8,33
5,1975,PHI,Darryl Dawkins,,14,726,23.7,12,6.1,1.3,0.572,0.133,0.685,46.4,0.129,-0.2,7.8
6,1975,POR,Lionel Hollins,Arizona State,10,673,27.4,11.6,2.4,4.5,0.444,0.149,0.741,22.9,0.059,-1.4,3.1
7,1975,NOJ,Rich Kelley,Stanford,11,814,21.8,7.6,7,2.6,0.488,0,0.783,42.5,0.115,0.8,12.7
8,1975,LAL,Junior Bridgeman,Louisville,12,849,25,13.6,3.5,2.4,0.475,0.244,0.846,45,0.102,-0.4,8.3
9,1975,NYK,Gene Short,Jackson State University,1,34,6.5,2.5,1.4,0.3,0.352,,0.625,-0.1,-0.025,-5,-0.2
10,1975,KCK,Bill Robinzine,DePaul,7,529,21.6,10.5,6.1,1.1,0.482,0.25,0.749,23.3,0.098,-1.8,0.5
11,1975,HOU,Joe Meriweather,Southern Illinois,10,670,22.1,8.1,5.6,0.9,0.511,0.333,0.687,27.6,0.09,-1.7,1.2
12,1975,SEA,Frank Oleynick,Seattle University,2,102,11.4,5,0.9,1.1,0.386,,0.708,-0.1,-0.005,-4.8,-0.8
13,1975,KCK,Bob Bigelow,Penn,4,94,8.1,2.5,1.2,0.4,0.414,,0.732,0.5,0.029,-3.3,-0.2
14,1975,GSW,Joe Bryant,La Salle,8,606,21.2,8.7,4,1.7,0.45,0.2,0.743,12.9,0.048,-2.2,-0.7
15,1975,CLE,John Lambert,USC,7,446,12.5,3.8,3.3,0.6,0.428,0.083,0.693,6.9,0.06,-3.1,-1.5
16,1975,PHO,Ricky Sobers,UNLV,11,821,28,13.3,2.6,4.3,0.459,0.291,0.843,32,0.067,-1.3,4.1
17,1975,BOS,Tom Boswell,South Carolina,6,366,19.3,7.7,4.7,1.6,0.533,0.545,0.724,15.2,0.104,-1.1,1.6
18,1975,WSB,Kevin Grevey,Kentucky,10,672,22.7,11,2.4,1.9,0.437,0.334,0.817,26.5,0.083,-1.2,2.9
19,1975,ATL,Bill Willoughby,,8,488,17.7,6,3.9,0.8,0.47,0.27,0.75,13.3,0.074,-1.5,1.2
20,1975,GSW,Gus Williams,USC,11,825,31.1,17.1,2.7,5.6,0.461,0.238,0.756,67.9,0.127,2.9,31.8
21,1975,SEA,Bruce Seals,Xavier University of Louisiana,3,235,24.4,10.3,4.6,1.2,0.435,,0.675,7,0.058,-2.8,-1.2
22,1975,MIL,Clyde Mayes,Furman University,2,74,13.5,4,3.8,0.5,0.446,,0.567,0.9,0.044,-3.7,-0.5
23,1975,PHI,World B. Free,Guilford College,13,886,30.4,20.3,2.7,3.7,0.456,0.337,0.753,67.7,0.121,1.2,22
24,1975,MIL,Cornelius Cash,Bowling Green,1,6,8.2,3.5,2.7,0.2,0.391,,0.5,0,-0.01,-4.6,-0.1
25,1975,POR,Bob Gross,Cal State Long Beach,8,513,24.5,8.9,4.4,2.9,0.512,0.179,0.798,30.7,0.117,1.8,12.2
26,1975,NYK,Ticky Burden,Utah,2,63,9.9,5.5,1,1,0.421,,0.6,0,-0.002,-3.1,-0.2
27,1975,DET,Walter Luckett,Ohio University,,,,,,,,,,,,,
28,1975,CLE,Dan Roundfield,Central Michigan University,11,746,31.4,15.2,9.7,2.2,0.485,0.115,0.738,65.2,0.134,1.4,20
29,1975,HOU,Jim Blanks,Gardner-Webb University,,,,,,,,,,,,,
30,1975,CHI,Steve Green,Indiana,3,153,10.7,4.6,2,0.6,0.438,,0.704,2.2,0.065,-2.8,-0.3
31,1975,KCK,Glenn Hansen,LSU,3,112,12.9,5.3,2.2,0.8,0.412,,0.725,1,0.034,-2.9,-0.4
32,1975,CHI,John Laskowski,Indiana,2,118,18.1,7.1,2.4,0.8,0.398,,0.76,2,0.046,-1.9,0
33,1975,CLE,Mel Utley,St. John's,,,,,,,,,,,,,
34,1975,NYK,Larry Fogle,Canisius,1,2,7,1,1.5,0,0.2,,,0,-0.163,-5.1,0
35,1975,PHO,Allen Murphy,Louisville,1,2,9,2.5,2,0,0.2,,0.429,-0.1,-0.229,-5.7,-0.1
36,1975,PHO,Jimmy Conner,Kentucky,,,,,,,,,,,,,
37,1975,NOJ,Rudy Hackett,Syracuse,1,6,7.7,2.3,2.2,0.5,0.3,,0.571,0,-0.024,-4.4,-0.1
38,1975,NOJ,Jim McElroy,Central Michigan University,7,418,24.3,9.9,2,3.5,0.468,0.206,0.764,14,0.066,-1.1,2.2
39,1975,PHI,Jimmie Baker,Hawaii,,,,,,,,,,,,,
40,1975,GSW,Otis Johnson,Stetson University,,,,,,,,,,,,,
41,1975,PHI,Charles Cleveland,Alabama,,,,,,,,,,,,,
42,1975,POR,Tom Roy,Maryland,,,,,,,,,,,,,
43,1975,MIL,Brian Hammel,Bentley College,,,,,,,,,,,,,
44,1975,DET,Pete Trgovich,UCLA,,,,,,,,,,,,,
45,1975,CLE,Ted Hathaway,Cleveland State University,,,,,,,,,,,,,
46,1975,NYK,John Ramsey,Seton Hall,,,,,,,,,,,,,
47,1975,HOU,Rudy White,Arizona State,5,124,9.6,3.1,1,0.9,0.408,0,0.742,0.2,0.008,-3.3,-0.4
48,1975,WSB,Tom Kropp,University of Nebraska at Kearney,2,78,7.1,2.5,0.8,0.6,0.44,,0.702,0.5,0.042,-3.5,-0.3
49,1975,KCK,Bob Guyette,Kentucky,,,,,,,,,,,,,
50,1975,POR,Gus Gerard,Virginia,5,280,12.6,5.7,2.6,0.8,0.436,0.143,0.649,5.3,0.072,-1.4,0.6
51,1975,GSW,Bubbles Hawkins,Illinois State,4,103,19.5,12.7,2.3,1.5,0.453,,0.704,3,0.072,0.4,1.4
52,1975,BUF,George Bucci,Manhattan College,,,,,,,,,,,,,
53,1975,BOS,Jerome Anderson,West Virginia,2,49,5.9,2.6,0.5,0.3,0.49,,0.694,0.4,0.068,-3.4,-0.1
54,1975,PHO,Bayard Forrest,Grand Canyon University,2,139,15.3,4.1,4.1,2.1,0.449,,0.509,2.7,0.06,-0.7,0.7
55,1975,NOJ,Mack Coleman,Houston Baptist University,,,,,,,,,,,,,
56,1975,LAL,C.J. Kupec,Michigan,3,147,10.8,4.1,2.1,0.7,0.427,,0.772,1.8,0.053,-3.1,-0.5
57,1975,ATL,Monte Towe,NC State,1,51,8,2.5,0.7,1.7,0.406,,0.72,0.1,0.013,-4.5,-0.3
58,1975,PHO,Sam McCants,Oral Roberts,,,,,,,,,,,,,
59,1975,PHI,Louis Dunbar,Houston,,,,,,,,,,,,,
60,1975,MIL,Bill Campion,Manhattan College,,,,,,,,,,,,,
61,1975,POR,Phil Hicks,Tulane,2,57,6.8,2.3,1.6,0.6,0.447,,0.778,0.5,0.058,-2.7,-0.1
62,1975,CLE,Eric Fernsten,San Francisco,6,218,7.5,2.4,1.7,0.4,0.445,,0.675,3.3,0.098,-0.7,0.6
63,1975,NYK,David Vaughn,Oral Roberts,,,,,,,,,,,,,
64,1975,DET,Lindsay Hairston,Michigan State,1,47,13.9,5.8,3.8,0.4,0.456,,0.58,1,0.075,-1.7,0.1
65,1975,HOU,Ken Smith,Tulsa,,,,,,,,,,,,,
66,1975,SEA,Jim Moore,Utah State University,,,,,,,,,,,,,
67,1975,KCK,Kevin Cleuss,St. John's,,,,,,,,,,,,,
68,1975,CHI,Ron Haigler,Penn,,,,,,,,,,,,,
69,1975,GSW,Billy Taylor,La Salle,,,,,,,,,,,,,
70,1975,BUF,Bob Fleischer,Duke,,,,,,,,,,,,,
71,1975,WSB,Fessor Leonard,Furman University,,,,,,,,,,,,,
72,1975,BOS,Cyrus Mann,Illinois State,,,,,,,,,,,,,
73,1975,NOJ,Andre Hampton,Kentucky State University,,,,,,,,,,,,,
74,1975,LAL,Charles Russell,Alabama,,,,,,,,,,,,,
75,1975,ATL,Wilbur Holland,New Orleans,4,276,29.6,13.6,3.1,3.3,0.452,,0.799,14,0.082,-0.4,3.3
76,1975,PHO,Joe Pace,Coppin State University,2,79,7.1,3.2,2.1,0.3,0.467,,0.598,1.1,0.092,-2.1,0
77,1975,PHI,Ken Tyler,Gonzaga,,,,,,,,,,,,,
78,1975,POR,Maurice Presley,Houston,,,,,,,,,,,,,
79,1975,CLE,Jim Lee,Syracuse,,,,,,,,,,,,,
80,1975,NYK,Donald Washington,UNC,,,,,,,,,,,,,
81,1975,DET,Cliff Pratt,Shaw,,,,,,,,,,,,,
82,1975,CLE,Mike Odems,Western Kentucky,,,,,,,,,,,,,
83,1975,HOU,Rick Whitlow,Illinois State,,,,,,,,,,,,,
84,1975,SEA,Dwain Govan,Bishop College,,,,,,,,,,,,,
85,1975,KCK,Ed Stahl,UNC,,,,,,,,,,,,,
86,1975,CHI,Bob Iverson,University of North Texas,,,,,,,,,,,,,
87,1975,GSW,Larry Pounds,Washington,,,,,,,,,,,,,
88,1975,BUF,Sam Berry,Armstrong Atlantic State University,,,,,,,,,,,,,
89,1975,BOS,Darryl Brown,Fordham,,,,,,,,,,,,,
90,1975,WSB,Rich Jones,Virginia Commonwealth,,,,,,,,,,,,,
91,1975,NOJ,Rich Schmidt,Illinois,,,,,,,,,,,,,
92,1975,LAL,Don Ford,UC Santa Barbara,7,474,19.6,6.4,3.6,1.4,0.464,0.143,0.773,12.7,0.066,-1.8,0.4
93,1975,ATL,Danny Williams,Ole Miss,,,,,,,,,,,,,
94,1975,PHO,Buff Burrell,USC,,,,,,,,,,,,,
95,1975,PHI,Ken Alston,Valdosta State University,,,,,,,,,,,,,
96,1975,MIL,Oliver Purnell,Old Dominion,,,,,,,,,,,,,
97,1975,POR,Gerald Willett,Oregon,,,,,,,,,,,,,
98,1975,DET,Allen Spruill,North Carolina A&T,,,,,,,,,,,,,
99,1975,CLE,Henry Ward,Jackson State University,1,27,6.3,3.1,1.2,0.2,0.378,,0.882,-0.1,-0.023,-6.1,-0.2
100,1975,NYK,Hank Williams,Jacksonville University,,,,,,,,,,,,,
101,1975,HOU,William Johnson,Texas Tech,,,,,,,,,,,,,
102,1975,SEA,Larry Smith,North Carolina A&T,,,,,,,,,,,,,
103,1975,KCK,Clint Chapman,USC,,,,,,,,,,,,,
104,1975,CHI,Bill Andreas,Ohio State,,,,,,,,,,,,,
105,1975,GSW,Tony Styles,San Francisco,,,,,,,,,,,,,
106,1975,BUF,Larry Jackson,UNC Charlotte,,,,,,,,,,,,,
107,1975,WSB,John Garrett,Purdue,,,,,,,,,,,,,
108,1975,BOS,Rick Coleman,Jacksonville University,,,,,,,,,,,,,
109,1975,NOJ,Bill Higgins,Ashland University,,,,,,,,,,,,,
110,1975,LAL,Rick Suttle,Kansas,,,,,,,,,,,,,
111,1975,ATL,Gus Johnson,Winona State University,,,,,,,,,,,,,
112,1975,PHO,Dave Edmunds,West Georgia,,,,,,,,,,,,,
113,1975,PHI,Mike Flynn,Kentucky,2,144,15.8,6.2,2.1,2.2,0.44,,0.653,2.6,0.054,-0.9,0.6
114,1975,POR,Steve Fields,Miami University,,,,,,,,,,,,,
115,1975,MIL,Wilbur Thomas,American University,,,,,,,,,,,,,
116,1975,CLE,Shawn Leftwick,Jacksonville University,,,,,,,,,,,,,
117,1975,NYK,Peter Davis,Michigan State,,,,,,,,,,,,,
118,1975,DET,Ike Williams,Armstrong Atlantic State University,,,,,,,,,,,,,
119,1975,HOU,Nathaniel Barnett,University of Akron,,,,,,,,,,,,,
120,1975,SEA,Hollis Miller,Drury University,,,,,,,,,,,,,
121,1975,KCK,Wayne Croft,Clemson,,,,,,,,,,,,,
122,1975,CHI,John Grochowalski,Assumption College,,,,,,,,,,,,,
123,1975,GSW,Stan Boyer,Wyoming,,,,,,,,,,,,,
124,1975,BUF,Mike Franklin,Cincinnati,,,,,,,,,,,,,
125,1975,BOS,Al Boswell,Oral Roberts,,,,,,,,,,,,,
126,1975,WSB,Fletcher Johnson,Randolph-Macon College,,,,,,,,,,,,,
127,1975,NOJ,Harvey Carmichael,Kentucky State University,,,,,,,,,,,,,
128,1975,LAL,Mike Cashman,Willamette University,,,,,,,,,,,,,
129,1975,ATL,Oscar Jackson,Duquesne,,,,,,,,,,,,,
130,1975,PHO,Jack Schrader,Arizona State,,,,,,,,,,,,,
131,1975,PHI,Freeman Blade,"Montana State University, Billings",,,,,,,,,,,,,
132,1975,MIL,Bob McCurdy,Richmond,,,,,,,,,,,,,
133,1975,POR,Charley Neal,Oregon State,,,,,,,,,,,,,
134,1975,NYK,Jerry Homan,Marquette,,,,,,,,,,,,,
135,1975,DET,John Kelley,Dillard University,,,,,,,,,,,,,
136,1975,CLE,Andre McCarter,UCLA,3,103,11.5,3.8,0.9,1.7,0.431,0.25,0.725,1.1,0.046,-2.5,-0.2
137,1975,HOU,Leon Johnson,Centenary (LA),,,,,,,,,,,,,
138,1975,SEA,Ken McKenzie,Montana,,,,,,,,,,,,,
139,1975,KCK,Jim Bostic,New Mexico State,1,4,12,6.5,4,0.8,0.545,,0.4,0.1,0.144,-2.7,0
140,1975,CHI,John Murphy,UMass,,,,,,,,,,,,,
141,1975,GSW,Mike Rozenski,Saint Mary's,,,,,,,,,,,,,
142,1975,BUF,Allen Jones,Pepperdine,,,,,,,,,,,,,
143,1975,WSB,Bruce Hamming,Augustana College (IL),,,,,,,,,,,,,
144,1975,BOS,Roger Morningstar,Kansas,,,,,,,,,,,,,
145,1975,NOJ,Fred Stokes,Barber-Scotia College,,,,,,,,,,,,,
146,1975,ATL,Dave Schlesser,Morningside College,,,,,,,,,,,,,
147,1975,PHO,Owen Brown,Maryland,,,,,,,,,,,,,
148,1975,PHI,Larry Harralson,Drake University,,,,,,,,,,,,,
149,1975,POR,Quintin Braxton,University of Portland,,,,,,,,,,,,,
150,1975,MIL,Eric Hays,Montana,,,,,,,,,,,,,
151,1975,DET,Terry Thomas,Detroit Mercy,1,28,4.9,2.8,1.3,0.1,0.431,,0.724,0.2,0.082,-3.7,-0.1
152,1975,CLE,Skip Howard,Bowling Green,,,,,,,,,,,,,
153,1975,NYK,Tim van Blommesteyn,Princeton,,,,,,,,,,,,,
154,1975,HOU,Steve Storther,Providence,,,,,,,,,,,,,
155,1975,SEA,Rich Haws,Utah State University,,,,,,,,,,,,,
156,1975,CHI,Gary Tomaszewski,St. Mary's University,,,,,,,,,,,,,
157,1975,GSW,Scott Trobbe,Stanford,,,,,,,,,,,,,
158,1975,BUF,George Rautins,Niagara University,,,,,,,,,,,,,
159,1975,BOS,Robert Rhodes,Albany State University,,,,,,,,,,,,,
160,1975,WSB,Doug Brookins,Creighton,,,,,,,,,,,,,
161,1975,NOJ,Aleksander Belov,,,,,,,,,,,,,,
162,1975,ATL,Vic Kelly,Hawaii,,,,,,,,,,,,,
163,1975,PHO,Mike Moon,Arizona State,,,,,,,,,,,,,
164,1975,PHI,Rick Reed,Azusa Pacific University,,,,,,,,,,,,,
165,1975,MIL,Romy Thomas,University of Wisconsin-Eau Claire,,,,,,,,,,,,,
166,1975,POR,Tyree Foster,University of Portland,,,,,,,,,,,,,
167,1975,CLE,Eric Anderson,Macalester College,,,,,,,,,,,,,
168,1975,NYK,Mo Rivers,NC State,,,,,,,,,,,,,
169,1975,DET,Mickey Fox,Saint Mary's University,,,,,,,,,,,,,
170,1975,SEA,Jerry Bellotti,Santa Clara,,,,,,,,,,,,,
171,1975,GSW,Maurice Harper,Saint Mary's,,,,,,,,,,,,,
172,1975,BUF,Art Allen,Pepperdine,,,,,,,,,,,,,
173,1975,WSB,Mike Fahey,Brandeis University,,,,,,,,,,,,,
174,1975,BOS,Bill Endicott,UMass,,,,,,,,,,,,,
1,1976,HOU,John Lucas,Maryland,14,928,27.5,10.7,2.3,7,0.449,0.303,0.776,53.7,0.101,1.3,21.1
2,1976,CHI,Scott May,Indiana,7,355,22.6,10.4,4.1,1.7,0.462,0,0.811,17.4,0.104,-0.7,2.7
3,1976,KCK,Richard Washington,UCLA,6,351,22.4,9.8,6.3,1.2,0.453,0.25,0.711,10.8,0.066,-2.5,-1.1
4,1976,DET,Leon Douglas,Alabama,7,456,22.2,7.9,6.5,1.1,0.495,0,0.601,15.2,0.072,-3,-2.4
5,1976,POR,Wally Walker,Virginia,8,565,18,7,3.1,1.5,0.467,0.2,0.643,12.9,0.061,-2.2,-0.6
6,1976,BUF,Adrian Dantley,Notre Dame,15,955,35.8,24.3,5.7,3,0.54,0.171,0.818,134.2,0.189,3.1,43.7
7,1976,MIL,Quinn Buckner,Indiana,10,719,22.6,8.2,2.7,4.3,0.461,0.184,0.657,24.7,0.073,-0.1,7.7
8,1976,GSW,Robert Parish,Centenary (LA),21,1611,28.4,14.5,9.1,1.4,0.537,0,0.721,147,0.154,1.5,40.7
9,1976,ATL,Armond Hill,Princeton,8,468,25.2,6.9,2,4.7,0.408,0.077,0.829,11.3,0.046,-2.3,-0.9
10,1976,PHO,Ron Lee,Oregon,6,448,21.4,7.3,2.7,3.8,0.416,0.321,0.705,10.7,0.054,-0.4,3.9
11,1976,SEA,Bob Wilkerson,Indiana,7,536,27.8,10.1,4.2,3.4,0.425,0.167,0.751,8.2,0.027,-2.2,-0.6
12,1976,PHI,Terry Furlow,Michigan State,4,239,20.1,10.7,2.1,2.4,0.459,0.293,0.862,7.3,0.073,0,2.4
13,1976,WSB,Mitch Kupchak,UNC,9,510,19.4,10.2,5.4,0.7,0.523,0,0.704,27.1,0.131,-0.7,3.2
14,1976,WSB,Larry Wright,Grambling State University,6,343,19.9,8.2,1.6,3.4,0.465,0.261,0.777,10.6,0.074,-1.2,1.4
15,1976,CLE,Chuckie Williams,Kansas State,1,22,3,1.7,0.2,0.3,0.298,,0.75,-0.2,-0.137,-6.5,-0.1
16,1976,BOS,Norm Cook,Kansas,2,27,5.5,2.4,1.1,0.2,0.373,,0.529,-0.1,-0.018,-4.4,-0.1
17,1976,GSW,Sonny Parker,Texas A&M,6,452,24.2,9.9,4.1,2.1,0.501,0,0.755,26.9,0.118,1.8,10.5
18,1976,CHI,Willie Smith,Missouri,4,78,15.4,4.6,1.7,3.6,0.4,0.239,0.754,1.3,0.052,-0.2,0.6
19,1976,SEA,Bayard Forrest,Grand Canyon University,2,139,15.3,4.1,4.1,2.1,0.449,,0.509,2.7,0.06,-0.7,0.7
20,1976,POR,Major Jones,Albany State University,6,374,13.5,4.4,3.5,0.6,0.49,0.111,0.586,5.5,0.052,-2.6,-0.8
21,1976,LAL,Earl Tatum,Marquette,4,262,20,9.6,2.6,1.9,0.459,0.333,0.746,7.8,0.071,-0.4,2.1
22,1976,POR,Johnny Davis,Dayton,10,750,28.3,12.9,2,4.5,0.448,0.176,0.821,38.5,0.087,-0.8,6.4
23,1976,MIL,Alex English,South Carolina,15,1193,31.9,21.5,5.5,3.6,0.507,0.217,0.832,100.7,0.127,2,38.2
24,1976,MIL,Scott Lloyd,Arizona State,6,372,15.2,4.6,3,1,0.425,0.286,0.718,2.5,0.021,-4.3,-3.4
25,1976,NYK,Lonnie Shelton,Oregon State,10,673,27.5,12,6.1,2.2,0.492,0.097,0.738,37.5,0.097,-0.3,7.9
26,1976,NOJ,Jacky Dorsey,Georgia,3,60,7.5,2.4,2.4,0.3,0.389,,0.544,0.3,0.031,-5.4,-0.4
27,1976,HOU,Phil Hicks,Tulane,2,57,6.8,2.3,1.6,0.6,0.447,,0.778,0.5,0.058,-2.7,-0.1
28,1976,ATL,Bob Carrington,Boston College,2,82,21.8,8.2,2.3,1.5,0.428,0,0.76,1.3,0.036,-3.2,-0.6
29,1976,SEA,Dennis Johnson,Pepperdine,14,1100,32.7,14.1,3.9,5,0.445,0.172,0.797,82.6,0.11,0.7,24.3
30,1976,PHO,Al Fleming,Arizona,1,20,4.9,2,1.5,0.4,0.484,,0.588,0,0.018,-4.1,-0.1
31,1976,WSB,Joe Pace,Coppin State University,2,79,7.1,3.2,2.1,0.3,0.467,,0.598,1.1,0.092,-2.1,0
32,1976,CLE,Mo Howard,Maryland,1,32,10.8,4.8,1.2,1.3,0.485,,0.686,0.6,0.084,-1,0.2
33,1976,PHO,Butch Feher,Vanderbilt,1,48,10.1,5.2,1.5,0.8,0.531,,0.768,1.5,0.145,0.6,0.3
34,1976,GSW,Marshall Rogers,University of Texas-Pan American,1,26,6.8,3.8,0.4,0.4,0.371,,0.933,-0.2,-0.043,-6.9,-0.3
35,1976,CHI,Dallas Smith,West Texas A&M University,,,,,,,,,,,,,
36,1976,LAL,Mike Dabney,Rutgers University,,,,,,,,,,,,,
37,1976,CHI,Lars Hansen,Washington,1,15,13.7,5.1,3.9,0.9,0.509,,0.581,0.6,0.149,-1.3,0.1
38,1976,DET,Phil Sellers,Rutgers University,1,44,7.5,4.5,0.9,0.6,0.384,,0.722,0,-0.007,-5,-0.3
39,1976,POR,Jeff Tyson,Western Michigan,,,,,,,,,,,,,
